palette,appearance,role,raw,resolved,variant,minimum,raw_ratio,resolved_ratio,backgrounds
pearl,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,accentText,#eee9dc,#656156,contrast-enhanced,4.5,1.029627,4.507267,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,selectedAccent,#eee9dc,#eee9dc,authored,4.5,14.376588,14.376588,#171a20
pearl,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
pearl,light,focus,#eee9dc,#817c71,contrast-enhanced,3,1.029627,3.029488,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,chartPrimary,#c7c2b3,#666154,contrast-enhanced,4.5,1.298218,4.500304,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,chartSecondary,#6b8cab,#456482,contrast-enhanced,4.5,2.567525,4.506397,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,indicator,#eee9dc,#817c71,contrast-enhanced,3,1.029627,3.029488,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,effectSurface,#6b8cab,#60809f,contrast-enhanced,3,2.567525,3.011181,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
pearl,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,5.619629,5.619629,#656156
pearl,light,effectText,#171a20,#101319,contrast-enhanced,4.5,4.220309,4.503708,#60809f
pearl,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,accentText,#eee9dc,#eee9dc,authored,4.5,10.423262,10.423262,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,selectedAccent,#eee9dc,#746f64,contrast-enhanced,4.5,1.102097,4.545576,#f4f4f4
pearl,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
pearl,dark,focus,#eee9dc,#eee9dc,authored,3,10.423262,10.423262,#1a1a1a|#0f0f0f|#262626|#333333
pearl,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
